Airtable UUID,Total_Covered_Lives,Weight_Rank_1_to_5
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,352200,5
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,352200,5
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,352200,5
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,352200,5
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,352200,5
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,352200,5
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,352200,5
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,352200,5
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,352200,5
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,352200,5
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,352200,5
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,352200,5
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,352200,5
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,352200,5
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,352200,5
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,352200,5
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,352200,5
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,352200,5
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,352200,5
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,352200,5
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,352200,5
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,352200,5
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,352200,5
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,352200,5
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,352200,5
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,35242,2
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,35242,2
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,35242,2
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,35242,2
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,35242,2
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,35242,2
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,35242,2
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,35242,2
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,35242,2
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,35242,2
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,35242,2
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,35242,2
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,35242,2
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,35242,2
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,35242,2
