Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
Standard Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),,CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,"Cigna, Small & Large Group, nan CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Value and Advantage Preventive Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Value and Advantage Preventive Generics Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,"Cigna, Small & Large Group, 6-7 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Care Choices for HSA Plans Medication Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans,Large Group Plans",Four - Five,CHIR_IDrecyovVyrzy1CxHHQ-154686-AKCare Choices fo,"Florida Blue, Individual and Family Plan, Large & Small Group, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large & Small Group","Individual and Family Plan, Large Group Plan, Small Group Plan",Non-Tiered Plan
Care Choices for Simple Choices Medication Guide (FL Health Plan),Florida Blue,Individual and Family Plans,Four - Five,CHIR_IDrecmxsU5Z2OoJa5wx-309612-AKCare Choices fo,"Florida Blue, Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Care Choices Medication Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans",Four - Five,CHIR_IDrecntLNRSt8KOEFDv-137328-AKCare Choices Me,"Florida Blue, Individual & Family and Small Group, 4-5 CGMs Covered","Non-Tiered Plan, Individual & Family and Small Group","Individual and Family Plan, Small Group Plan",Non-Tiered Plan
Closed Medication Guide (Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecjrAjcPKtKkec7x-136816-AKClosed Medicati,"Florida Blue, Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Condition Care Rx Program Drug List (FL Health Plan),Florida Blue,Unclear,,CHIR_IDrecbbX93MtYy9DwSa-269772-AKCondition Care ,"Florida Blue, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Generic Choices Medication Guide (FL Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecDu0lunmuQ38R9D-136930-AKGeneric Choices,"Florida Blue, Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Large Group Care Choices Medication Guide (FL Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecmfjO2kbN9vzFRn-310802-FLLarge Group Car,"Florida Blue, Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Large Group ValueScript Rx Medication Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans,Large Group Plans",Four - Five,CHIR_IDrecCaIH7PomONSHnG-310810-FLLarge Group Val,"Florida Blue, Individual and Family Plan, Large & Small Group, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large & Small Group","Individual and Family Plan, Large Group Plan, Small Group Plan",Non-Tiered Plan
NetResults A-Series Lite Medication Guide (FL Health Plan),Florida Blue,Unclear,Two - Three,CHIR_IDrecDAwCOhOGFxpTBF-261159-AKNetResults A-Se,"Florida Blue, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
NetResults A-Series Medication Guide (FL Health Plan),Florida Blue,Unclear,Two - Three,CHIR_IDrecIieQ6iXPZy3ejk-261161-AKNetResults A-Se,"Florida Blue, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Open Medication Guide (Health Plan),Florida Blue,Large Group Plans,Four - Five,CHIR_IDrecVvia4Pu6VHM9Gu-136815-AKOpen Medication,"Florida Blue, Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
Responsible Quantity Program,Florida Blue,Unclear,Four - Five,CHIR_IDrecWtOegHJlk0tuCM-194831-FLResponsible Qua,"Florida Blue, Unclear, 4-5 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
ValueScript Rx for Simple Choice Plans 4-Tier Medication Guide (Commercial),Florida Blue,Individual and Family Plans,Six - Seven,CHIR_IDrecPJJp9aJsZKSH2G-154688-FLValueScript Rx ,"Florida Blue, Individual and Family Plan, 6-7 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
ValueScript Rx Medication Drug Guide (FL Health Plan),Florida Blue,"Individual and Family Plans,Small Group Plans,Large Group Plans",Four - Five,CHIR_IDrectPk81cFOUvkjZV-137327-AKValueScript Rx ,"Florida Blue, Individual and Family Plan, Large & Small Group, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large & Small Group","Individual and Family Plan, Large Group Plan, Small Group Plan",Non-Tiered Plan
5-Tier Formulary Benefit (Commercial) (GA),Kaiser Permanente,Unclear,,CHIR_IDrecCNYHnT4Fmv9otx-149909-GA5-Tier Formular,"Kaiser Permanente, Unclear, nan CGMs Covered","5-Tier Plan, Unclear",Unclear,5-Tier Plan
Access PPO/SEBB Large Employer Groups 4-Tier Drug Formulary (Commercial) (WA),Kaiser Permanente,Large Group Plans,,CHIR_IDrec3HQSC3J7eARoJZ-200070-WAAccess PPO/SEBB,"Kaiser Permanente, Large Group, nan CGMs Covered","4-Tier Plan, Large Group",Large Group Plan,4-Tier Plan
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Unclear,,CHIR_IDrec6XkY18NrajcyUl-136874-WAAccess/Alliance,"Kaiser Permanente, Unclear, nan CGMs Covered","3-Tier Plan, Unclear",Unclear,3-Tier Plan
Added Choice Plan Formulary with Specialty Drug Tier (HI),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrecWSRSS3FPjapozA-230638-HIAdded Choice Pl,"Kaiser Permanente, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Unclear,,CHIR_IDrecDkoAM63o54gzgd-138656-WACore/ Access PP,"Kaiser Permanente, Unclear, nan CGMs Covered","4-Tier Plan, Unclear",Unclear,4-Tier Plan
Exclusive Provider Organization (EPO)/Deductible EPO (DEPO) Commercial Self-Funded Plans Formulary (Health Plan)(CA),Kaiser Permanente,Large Group Plans,,CHIR_IDrecP00FPgbqOFBMu6-191371-CAExclusive Provi,"Kaiser Permanente, Large Group, nan CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
"Flexible Choice, 2TPOS OON Tier and Out-of-Area PPO Formulary (Health Plan) (D.C., MD, VA)",Kaiser Permanente,Large Group Plans,Just One,CHIR_IDrec225WSeEtphcJQk-290091-DCFlexible Choice,"Kaiser Permanente, Large Group, 1 CGMs Covered","Non-Tiered Plan, Large Group",Large Group Plan,Non-Tiered Plan
HMO Formulary (Commercial) (GA),Kaiser Permanente,Unclear,Just One,CHIR_IDrecOZdTybbOgEG5fI-149934-GAHMO Formulary (,"Kaiser Permanente, Unclear, 1 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Kaiser Permanente Georgia Choice Benefit Formulary (PPO),Kaiser Permanente,Unclear,,CHIR_IDrec0MsUUM3Nuw9uBN-290245-GAKaiser Permanen,"Kaiser Permanente, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Kaiser Permanente Insurance Company (KPIC) POS/PPO Plans Covered Drug List (CO),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrec7rvu9bfo7wD69K-149916-COKaiser Permanen,"Kaiser Permanente, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
KPIC Point-of-Service (POS) Drug Formulary (Health Plan) (CA),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrecnByfqX6jl55JzG-196782-CAKPIC Point-of-S,"Kaiser Permanente, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
KPIC POS Drug Formulary with Specialty Drug Tier (Health Plan) (CA),Kaiser Permanente,Unclear,Eight - Nine,CHIR_IDrecNMutqfOgm8IPgy-187210-CAKPIC POS Drug F,"Kaiser Permanente, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
KPIC PPO & OOA with Specialty Drug Tier Formulary 5-Tier (Health Plan) (CA),Kaiser Permanente,Unclear,Ten or More,CHIR_IDrec4w5Wh3qSXknayd-217858-CAKPIC PPO & OOA ,"Kaiser Permanente, Unclear, 10+ CGMs Covered","5-Tier Plan, Unclear",Unclear,5-Tier Plan
KPIC PPO and OOA Indemnity Drug Formulary (Health Plan) (CA),Kaiser Permanente,Unclear,Ten or More,CHIR_IDrecXrRDbDFQdVUhRH-188578-CAKPIC PPO and OO,"Kaiser Permanente, Unclear, 10+ CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Large Employer Group Drug Formulary with Additional Specialty Tier (2-Tier) (Health Plan) (WA),Kaiser Permanente,Large Group Plans,Four - Five,CHIR_IDrec4ZTU0lc6Lr3Nor-188573-WALarge Employer ,"Kaiser Permanente, Large Group, 4-5 CGMs Covered","2-Tier Plan, Large Group",Large Group Plan,2-Tier Plan
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Large Group Plans,Four - Five,CHIR_IDrechFlMnx1V49gBin-138660-WALarge Group All,"Kaiser Permanente, Large Group, 4-5 CGMs Covered","2-Tier Plan, Large Group",Large Group Plan,2-Tier Plan
Marketplace Formulary (Commercial) (OR),Kaiser Permanente,Unclear,,CHIR_IDrecbkwrMwOqsqiMsm-137645-ORMarketplace For,"Kaiser Permanente, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Marketplace Formulary (Commercial) (WA),Kaiser Permanente,Unclear,,CHIR_IDrec5KejXXbPSAUPPy-149898-WAMarketplace For,"Kaiser Permanente, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Mid/Large Group 4-Tier Benefit Formulary (Commercial) (GA),Kaiser Permanente,Large Group Plans,,CHIR_IDrec29QelpJxN4jr14-153145-GAMid/Large Group,"Kaiser Permanente, Large Group, nan CGMs Covered","4-Tier Plan, Large Group",Large Group Plan,4-Tier Plan
"Northwest Commercial Formulary (OR, WA)",Kaiser Permanente,Unclear,,CHIR_IDrec9A89Q8U5Wx6qqg-149900-ORNorthwest Comme,"Kaiser Permanente, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
"Northwest Self-Funded Formulary (OR, WA Health Plan)",Kaiser Permanente,Individual,,CHIR_IDrecL9r5ATpLaWSLrF-310310-ORNorthwest Self-,"Kaiser Permanente, Individual and Family Plan, nan CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
"Northwest Specialty Drug List (OR, WA)",Kaiser Permanente,Unclear,,CHIR_IDrecXW650hJM8RPrhN-149904-ORNorthwest Speci,"Kaiser Permanente, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),Kaiser Permanente,Unclear,,CHIR_IDrecVhAbrYzRv2p7DA-138661-WAPEBB SoundChoic,"Kaiser Permanente, Unclear, nan CGMs Covered","5-Tier Plan, Unclear",Unclear,5-Tier Plan
Premium Standard Formulary (CO Health Plan),Kaiser Permanente,"Individual and Family Plans,Small Group Plans",Four - Five,CHIR_IDrec2nIDCubGNKdP67-316878-COPremium Standar,"Kaiser Permanente, Individual & Family and Small Group, 4-5 CGMs Covered","Non-Tiered Plan, Individual & Family and Small Group","Individual and Family Plan, Small Group Plan",Non-Tiered Plan
"Premium Standard Formulary (MD, VA, D.C.)",Kaiser Permanente,"Individual and Family Plans,Small Group Plans",Four - Five,CHIR_IDrecPLEqYpPL7k0nDT-372985-DCPremium Standar,"Kaiser Permanente, Individual & Family and Small Group, 4-5 CGMs Covered","Non-Tiered Plan, Individual & Family and Small Group","Individual and Family Plan, Small Group Plan",Non-Tiered Plan
4-Tier Oscar Individual Plan Formulary (AZ Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecUf7qatosiD09ht-342761-AZ4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (FL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecOT2KASM9Cwo4Zz-342762-FL4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (GA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecLUMCzwgJshOpMt-342763-GA4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (IA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecStELh0Fs1ogRD0-342765-IA4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (IL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecksKr4Nx1H8i47y-342764-IL4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (KS Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec7QhTfpbbw1f5nR-342766-KS4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (MI Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecAd3OdR4mMJTLU0-342767-MI4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (MO Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec6u4FaUfgr4OFhq-342769-MO4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (NC Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecB9zAxpvBBHSCO6-342752-NC4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (NE Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecxVqNNL7jcmHCAi-342770-NE4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (OH Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecg8So6JxySMQsU3-342753-OH4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (OK Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecaju1ktWVH8fftf-342755-OK4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (PA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec2lphwg6nqLNgyE-342756-PA4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (TN Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecwtcgXf57mXdJZ2-342758-TN4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (TX Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecqhxZo50K974Hx7-342759-TX4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
4-Tier Oscar Individual Plan Formulary (VA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecdTylUmulVc8CNT-342760-VA4-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
6-Tier Oscar Individual and Family Plan Formulary (OH Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecIwiLLuw3vqpm7t-264055-OH6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (AZ Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecXpk2g3HVChqy0X-301798-AZ6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (FL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecGf9SBO2d8vpVMk-301807-FL6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (GA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec0oFUFrGvZNCAaO-301921-GA6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (IA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec2x9yNPgi42U3Kr-301927-IA6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (IL Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecTxLw8MUX4oaEpU-301924-IL6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (KS Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec3Wyv6mfHmcEUzT-301929-KS6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (MI Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecpYwLjqYlCOprPQ-301932-MI6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (MO Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecbQPM1sHJHkMZmv-301934-MO6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (NC Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecaH05Js9qNxlBs9-302183-NC6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (NE Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecFWCUZNM8oSRxf1-301936-NE6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (OK Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecck94yHr9dEyC82-302184-OK6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (PA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrecCkktpNvhru5LJg-302185-PA6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (TN Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec5NobvDYhZDMrHg-302186-TN6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (TX Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec2OCzHXUx1MNPjR-302187-TX6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
6-Tier Oscar Individual Plan Formulary (VA Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrech05bMGBDcDAVbV-302188-VA6-Tier Oscar In,"Individual and Family Plan, 2-3 CGMs Covered","6-Tier Plan, Individual and Family Plan",Individual and Family Plan,6-Tier Plan
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecOSvJtFPS7PWjTa-301799-AZOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrec27GrZlCs1r9TUr-301803-CAOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecvbrum9fu5Wgp9R-301806-CTOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecElwtCCxD58CRQr-301923-GAOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecjUtVkwdy7Xr3aW-301931-KSOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecGAHLPDzUGWrJ5l-301935-MOOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecIYkYuDLeGH0CYF-309486-PAOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecorv3DDadaoMI3M-302189-TNOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar and Cigna Express Scripts High Performance Infertility Formulary (CA Health Plan),Oscar Health Insurance,Individual,Six - Seven,CHIR_IDrecE1A4Ark3UqiArY-301804-CAOscar and Cigna,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar Business & Individual and Small Group Plan Formulary (NY Health Plan),Oscar Health Insurance,"Individual,Small Group",Two - Three,CHIR_IDrecPyjcLjOYgxZSeI-302181-NYOscar Business ,"Individual & Family and Small Group, 2-3 CGMs Covered","Non-Tiered Plan, Individual & Family and Small Group","Individual and Family Plan, Small Group Plan",Non-Tiered Plan
Oscar For Business No Family Planning (NY Health Plan),Oscar Health Insurance,Individual,Two - Three,CHIR_IDrec78JbgzJp7SpZKW-302182-NYOscar For Busin,"Individual and Family Plan, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Oscar Individual and Small Group Plan Formulary (NJ Health Plan),Oscar Health Insurance,"Individual,Small Group",Two - Three,CHIR_IDrecdmtMY4Mxw3TuOr-301937-NJOscar Individua,"Individual & Family and Small Group, 2-3 CGMs Covered","Non-Tiered Plan, Individual & Family and Small Group","Individual and Family Plan, Small Group Plan",Non-Tiered Plan
2025 Surest Advantage 3-Tier Prescription Drug List,United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrec0C0Rk84nc7DLHB-361532-CA2025 Surest Adv,"Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Access 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecPBXFEdyXlJ3bKT-229114-AKAccess 3-Tier P,"Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Access 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecpCcBOfuoorRU40-229117-AKAccess 4-Tier P,"Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Alabama Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrec8W4DV2YP3FaiEY-312692-ALAlabama Individ,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
