Line of Business,New Market Segment(s),Payer,Payer (Detailed),States,Covered Lives
Commercial,Self Funded/Employer Sponsored,Kaiser Permanente,Kaiser Permanente,GA,"15,313"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,GA,"20,962"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,HI,"15,240"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,HI,"135,899"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,HI,"28,979"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,MD,"53,283"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,MD,"93,305"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,MD,"38,733"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,OR,"32,984"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,OR,"256,234"
Commercial,Self Funded/Employer Sponsored,Kaiser Permanente,Kaiser Permanente,OR,"17,319"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,OR,"23,504"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,VA,"36,434"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,VA,"74,205"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,VA,"30,901"
Commercial,Individual,Kaiser Permanente,Kaiser Permanente,WA,"45,423"
Commercial,Large Group,Kaiser Permanente,Kaiser Permanente,WA,"319,760"
Commercial,Self Funded/Employer Sponsored,Kaiser Permanente,Kaiser Permanente,WA,"221,164"
Commercial,Small Group,Kaiser Permanente,Kaiser Permanente,WA,"25,062"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,AZ,"11,690"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,CO,"2,862"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,FL,"1,072,468"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,GA,"451,507"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,IA,"32,954"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,IL,"13,520"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,KS,"15,306"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,MI,"3,371"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,MO,"30,476"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,NC,"6,612"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,NE,891
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,NJ,"28,401"
Commercial,Small Group,Oscar Health Insurance,Oscar Health Insurance,NJ,138
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,NY,"12,378"
Commercial,Small Group,Oscar Health Insurance,Oscar Health Insurance,NY,175
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,OH,"101,891"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,OK,"14,946"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,PA,"2,653"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,TN,"37,213"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,TX,"173,318"
Commercial,Individual,Oscar Health Insurance,Oscar Health Insurance,VA,232
Commercial,Large Group,United Healthcare,United Healthcare,AK,"8,964"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,AK,"6,661"
Commercial,Small Group,United Healthcare,United Healthcare,AK,"1,628"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,AL,"65,204"
Commercial,Large Group,United Healthcare,United Healthcare,AR,"38,239"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,AR,"152,417"
Commercial,Small Group,United Healthcare,United Healthcare,AR,"21,075"
Commercial,Individual,United Healthcare,United Healthcare,AZ,"2,515"
